fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,metrics.icuHeadroomRatio,metrics.icuHeadroomDetails,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,riskLevels.icuHeadroomRatio,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,actuals.hospitalBeds.typicalUsageRate,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,actuals.icuBeds.typicalUsageRate,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered\
48073,US,TX,Cherokee County,county,,iso1:us#iso2:us-tx#fips:48073,,52646,0.009,other,4.1,,0.94,0.94,0.79,,0.33,1,0,1,4,1,3,0,4294,144,,,,388,34,3,0.76,4,1,1,,2,,14563,12462,6/18/21,https://covidactnow.org/us/texas-tx/county/cherokee_county,0.277,0.237,0,25281\
48075,US,TX,Childress County,county,,iso1:us#iso2:us-tx#fips:48075,,7306,,other,18.2,,1.16,1.17,,,,2,4,2,4,2,4,4,1383,17,,,,39,8,0,0.19,0,,0,,4,,2888,2651,6/18/21,https://covidactnow.org/us/texas-tx/county/childress_county,0.395,0.363,0,4930\
48077,US,TX,Clay County,county,,iso1:us#iso2:us-tx#fips:48077,,10471,0.056,other,5.5,,1.03,1.16,,,,1,1,1,4,1,4,4,1042,16,,,,25,2,0,0.06,0,,0,,1,,3631,3376,6/18/21,https://covidactnow.org/us/texas-tx/county/clay_county,0.347,0.322,0,6740\
48079,US,TX,Cochran County,county,,iso1:us#iso2:us-tx#fips:48079,,2853,,other,20,,,,,,,2,4,2,4,4,4,4,330,15,,,,18,3,0,0,0,,0,,4,,865,789,6/18/21,https://covidactnow.org/us/texas-tx/county/cochran_county,0.303,0.277,0,1478\
48081,US,TX,Coke County,county,,iso1:us#iso2:us-tx#fips:48081,,3387,,other,8.4,,1,1.17,,,,1,4,1,4,1,4,4,469,13,,,,,,0,,,,0,,0,,1076,934,6/18/21,https://covidactnow.org/us/texas-tx/county/coke_county,0.318,0.276,0,1949\
48083,US,TX,Coleman County,county,,iso1:us#iso2:us-tx#fips:48083,,8175,,other,0,,1,1.17,,,,0,4,0,4,1,4,4,755,33,,,,25,6,1,0.32,0,,0,,0,,2423,2175,6/18/21,https://covidactnow.org/us/texas-tx/county/coleman_county,0.296,0.266,0,4372\
48085,US,TX,Collin County,county,,iso1:us#iso2:us-tx#fips:48085,,1034730,0.019,other,3.7,,,,0.07,,0.93,1,0,1,4,4,0,3,90319,838,,,,2827,1526,29,0.69,238,222,11,0.58,11,,565708,488710,6/18/21,https://covidactnow.org/us/texas-tx/county/collin_county,0.547,0.472,0,1027044\
48087,US,TX,Collingsworth County,county,,iso1:us#iso2:us-tx#fips:48087,,2920,,other,0,,1,1.17,,,,0,4,0,4,1,4,4,329,9,,,,15,0,0,0.19,0,,0,,0,,826,717,6/18/21,https://covidactnow.org/us/texas-tx/county/collingsworth_county,0.283,0.246,0,1429\
48089,US,TX,Colorado County,county,,iso1:us#iso2:us-tx#fips:48089,,21493,0.018,other,3.1,,1.12,1.19,0,,,2,0,1,4,2,0,4,1743,32,,,,103,15,1,0.18,0,0,0,,1,,9042,7972,6/18/21,https://covidactnow.org/us/texas-tx/county/colorado_county,0.421,0.371,0,15500\
48091,US,TX,Comal County,county,,iso1:us#iso2:us-tx#fips:48091,,156209,0.083,other,9.3,,1.02,0.39,0.03,,0.42,1,1,1,4,1,0,0,11113,323,,,,340,85,4,0.55,22,9,0,0.44,11,,76261,64364,6/18/21,https://covidactnow.org/us/texas-tx/county/comal_county,0.488,0.412,0,133552\
48093,US,TX,Comanche County,county,,iso1:us#iso2:us-tx#fips:48093,,13635,,other,4.2,,1.02,1.16,,,,1,4,1,4,1,4,4,1567,51,,,,25,7,1,0.29,0,,0,,2,,4713,4216,6/18/21,https://covidactnow.org/us/texas-tx/county/comanche_county,0.346,0.309,0,8342\
48095,US,TX,Concho County,county,,iso1:us#iso2:us-tx#fips:48095,,2726,,other,26.2,,1.02,1.16,,,,3,4,3,4,1,4,4,477,8,,,,16,1,2,0.06,0,,0,,2,,1173,931,6/18/21,https://covidactnow.org/us/texas-tx/county/concho_county,0.43,0.342,0,2008\
48097,US,TX,Cooke County,county,,iso1:us#iso2:us-tx#fips:48097,,41257,0.018,other,2.4,,1.16,1.15,0.25,,0.73,2,0,1,4,2,0,1,3799,72,,,,78,22,1,0.38,4,3,0,0.49,5,,12805,11018,6/18/21,https://covidactnow.org/us/texas-tx/county/cooke_county,0.31,0.267,0,22771\
48099,US,TX,Coryell County,county,,iso1:us#iso2:us-tx#fips:48099,,75951,0.012,other,4.6,,0.72,0.78,2.54,,1,1,0,1,4,0,3,3,7332,87,,,,25,6,2,0.31,0,2,1,,0,,21110,17304,6/18/21,https://covidactnow.org/us/texas-tx/county/coryell_county,0.278,0.228,0,36883\
48101,US,TX,Cottle County,county,,iso1:us#iso2:us-tx#fips:48101,,1398,,other,0,,,,,,,0,4,0,4,4,4,4,191,7,,,,,,0,,,,0,,0,,451,403,6/18/21,https://covidactnow.org/us/texas-tx/county/cottle_county,0.323,0.288,0,798\
48103,US,TX,Crane County,county,,iso1:us#iso2:us-tx#fips:48103,,4797,,other,3,,1.01,1.17,,,,1,4,1,4,1,4,4,540,12,,,,25,8,0,0.07,2,,0,,0,,1404,912,6/18/21,https://covidactnow.org/us/texas-tx/county/crane_county,0.293,0.19,0,2290\
48105,US,TX,Crockett County,county,,iso1:us#iso2:us-tx#fips:48105,,3464,,other,16.5,,1.14,1.04,,,,2,4,2,4,2,4,4,594,15,,,,,,0,,,,0,,0,,1213,1060,6/18/21,https://covidactnow.org/us/texas-tx/county/crockett_county,0.35,0.306,0,2241\
48107,US,TX,Crosby County,county,,iso1:us#iso2:us-tx#fips:48107,,5737,0.056,other,62.3,,1.2,0.75,,,,3,1,3,4,2,4,4,713,29,,,,25,0,0,0.07,0,,0,,2,,2024,1854,6/18/21,https://covidactnow.org/us/texas-tx/county/crosby_county,0.353,0.323,0,3805\
48109,US,TX,Culberson County,county,,iso1:us#iso2:us-tx#fips:48109,,2171,,other,19.7,,1,1.17,,,,2,4,2,4,1,4,4,366,11,,,,14,0,0,0.2,0,,0,,0,,1034,911,6/18/21,https://covidactnow.org/us/texas-tx/county/culberson_county,0.476,0.42,0,1935\
48111,US,TX,Dallam County,county,,iso1:us#iso2:us-tx#fips:48111,,7287,,other,2.3,,,,,,,1,4,1,4,4,4,4,989,26,,,,,10,0,,,,0,,0,,2585,1993,6/18/21,https://covidactnow.org/us/texas-tx/county/dallam_county,0.355,0.274,0,4531\
48113,US,TX,Dallas County,county,,iso1:us#iso2:us-tx#fips:48113,,2635516,0.023,other,4,,1.05,0.16,0.11,,0.86,1,0,1,4,1,0,3,295758,4105,,,,9374,5078,116,0.66,631,544,34,0.71,112,,1224416,1019647,6/18/21,https://covidactnow.org/us/texas-tx/county/dallas_county,0.465,0.387,5,2168465\
48115,US,TX,Dawson County,county,,iso1:us#iso2:us-tx#fips:48115,,12728,0.011,other,0,,1,1.17,,,,0,0,0,4,1,4,4,1740,69,,,,22,3,0,0.13,9,7,3,,0,,3278,2837,6/18/21,https://covidactnow.org/us/texas-tx/county/dawson_county,0.258,0.223,0,5731\
48117,US,TX,Deaf Smith County,county,,iso1:us#iso2:us-tx#fips:48117,,18546,0.048,other,21.6,,0.94,0.73,1.06,,,2,1,2,4,1,3,4,2923,68,,,,42,4,1,0.12,2,0,1,,5,,5620,4786,6/18/21,https://covidactnow.org/us/texas-tx/county/deaf_smith_county,0.303,0.258,0,9781\
48119,US,TX,Delta County,county,,iso1:us#iso2:us-tx#fips:48119,,5331,,other,0,,,,,,,0,4,0,4,4,4,4,323,12,,,,,,1,,,,0,,0,,1389,1226,6/18/21,https://covidactnow.org/us/texas-tx/county/delta_county,0.261,0.23,0,2521\
48121,US,TX,Denton County,county,,iso1:us#iso2:us-tx#fips:48121,,887207,0.025,other,3.7,,0.97,0.26,0.25,,0.75,1,0,1,4,1,0,1,76680,772,,,,1592,632,24,0.58,72,54,10,0.63,44,,441594,377547,6/18/21,https://covidactnow.org/us/texas-tx/county/denton_county,0.498,0.426,0,795713\
48123,US,TX,DeWitt County,county,,iso1:us#iso2:us-tx#fips:48123,,20160,0.029,other,1.4,,1,1.17,0.83,,0.44,1,0,1,4,1,3,0,1983,60,,,,49,12,1,0.22,4,2,1,,0,,6904,5744,6/18/21,https://covidactnow.org/us/texas-tx/county/de_witt_county,0.342,0.285,0,12034\
48125,US,TX,Dickens County,county,,iso1:us#iso2:us-tx#fips:48125,,2211,,other,0,,,,,,,0,4,0,4,4,4,4,187,10,,,,,,0,,,,0,,0,,573,531,6/18/21,https://covidactnow.org/us/texas-tx/county/dickens_county,0.259,0.24,0,1030\
48127,US,TX,Dimmit County,county,,iso1:us#iso2:us-tx#fips:48127,,10124,0.097,other,69.1,,0.99,0.54,,,,3,1,3,4,1,4,4,2383,37,,,,25,17,0,0.21,4,0,0,,0,,5498,4078,6/18/21,https://covidactnow.org/us/texas-tx/county/dimmit_county,0.543,0.403,0,9519\
48129,US,TX,Donley County,county,,iso1:us#iso2:us-tx#fips:48129,,3278,,other,8.7,,,,,,,1,4,1,4,4,4,4,420,15,,,,,,0,,,,0,,0,,1052,899,6/18/21,https://covidactnow.org/us/texas-tx/county/donley_county,0.321,0.274,0,1893\
48131,US,TX,Duval County,county,,iso1:us#iso2:us-tx#fips:48131,,11157,0.012,other,5.1,,0.98,1.17,,,,1,0,1,4,1,4,4,1275,41,,,,,,1,,,,0,,0,,5444,4520,6/18/21,https://covidactnow.org/us/texas-tx/county/duval_county,0.488,0.405,0,9527\
